Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Influence
ID:76561198106277602,20.00000,20.00000,20.00000,4.55495,5.05648,5.26404,4.00803,5.84717,5.45303,4.66389,5.36192,4.62100,3.70853,20.00000,20.00000,20.00000,20.00000,0,0,190,0,6000,732,271,3094,3480,4384,5782,0,4881,0,0,3325,0,22.76875
ID:76561198394634408,3.99495,20.00000,20.00000,20.00000,5.28838,4.33094,4.58416,4.64845,5.09852,5.15678,4.01238,4.22129,2.75084,20.00000,20.00000,20.00000,20.00000,2947,0,421,0,0,1617,442,2452,2767,0,4515,0,3323,0,0,3861,1410,22.76619
ID:76561198315249585,20.00000,9.09917,20.00000,2.68771,20.00000,9.87716,3.19307,7.79661,20.00000,20.00000,6.08629,2.74665,20.00000,20.00000,20.00000,20.00000,20.00000,1195,14045,380,11345,0,3287,298,3204,0,4503,6530,0,2917,0,3958,0,0,22.76454
ID:76561198040923558,3.61848,20.00000,20.00000,20.00000,6.92774,5.35291,3.94614,6.71469,20.00000,4.90197,4.01889,4.51149,3.59004,20.00000,3.43753,20.00000,20.00000,5067,0,0,0,0,1748,375,0,1124,0,3486,12151,3223,0,9917,0,0,22.76392
ID:76561198264358131,20.00000,6.52922,20.00000,4.75600,5.86320,20.00000,3.78503,7.03438,20.00000,20.00000,20.00000,4.94529,20.00000,20.00000,20.00000,20.00000,20.00000,688,16574,0,17801,8001,808,377,3852,0,7378,3672,15329,1657,0,15234,0,0,22.74750
ID:76561198857332861,20.00000,5.52326,4.16581,2.94832,20.00000,4.22615,4.96190,5.20228,20.00000,3.46890,3.82986,3.55367,20.00000,20.00000,20.00000,20.00000,20.00000,1339,0,1396,0,0,1937,550,0,1512,0,5641,0,2295,0,0,0,0,22.73440
ID:76561198202110278,20.00000,20.00000,8.35587,1.73253,20.00000,9.90046,3.36311,3.80227,20.00000,3.18146,20.00000,2.87352,20.00000,20.00000,20.00000,20.00000,20.00000,2276,0,1726,8062,0,2045,360,3934,807,0,0,0,0,0,9888,5305,0,22.71134
ID:76561198043801955,20.00000,10.70630,7.48227,20.00000,5.64205,8.91546,6.23042,6.40295,6.90177,5.30710,4.55056,2.97655,3.10868,20.00000,20.00000,20.00000,20.00000,0,0,842,0,0,2130,0,1862,3237,0,6650,7935,4292,0,0,0,0,22.70994
ID:76561198834006113,6.50547,20.00000,20.00000,3.07923,20.00000,10.82408,7.14146,9.36084,20.00000,20.00000,5.94013,2.86745,20.00000,20.00000,20.00000,20.00000,20.00000,2160,0,1191,0,0,2899,1369,2038,5753,0,5799,9369,0,0,10051,0,0,22.70497
ID:76561198047121259,2.51124,20.00000,3.67120,1.86721,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,1.89222,2.97718,20.00000,20.00000,20.00000,20.00000,3710,0,2868,0,0,0,0,0,1480,0,0,0,3641,176,12828,0,0,22.69587
ID:76561198263772875,4.63809,10.39483,4.67427,2.81282,7.08798,20.00000,20.00000,5.87926,20.00000,3.67731,4.65134,2.81540,20.00000,20.00000,20.00000,20.00000,20.00000,3970,0,3305,7096,5137,565,0,2719,0,0,6056,8934,0,0,15413,0,0,22.68352
ID:76561198243774444,20.00000,20.00000,8.95582,2.77470,8.37392,9.27204,20.00000,20.00000,6.10547,20.00000,4.11428,2.71359,2.82357,20.00000,20.00000,20.00000,20.00000,971,6512,1602,0,4624,3758,0,0,4179,0,4578,10602,3723,0,4574,122,15,22.67947
ID:76561198045354869,5.16774,20.00000,10.44423,3.00710,8.73650,10.34287,7.57141,8.58905,6.54857,20.00000,6.41958,20.00000,4.12742,20.00000,20.00000,20.00000,20.00000,4018,0,1177,0,4225,3659,581,3840,3060,0,5121,9214,3066,0,0,3540,5264,22.67765
ID:76561198144295617,7.05777,5.26384,7.55157,4.33569,4.32401,20.00000,20.00000,20.00000,9.30117,20.00000,20.00000,2.70922,3.50302,20.00000,5.48758,20.00000,20.00000,4672,0,3798,0,5329,0,0,0,3031,0,1017,8429,4078,0,15957,2897,0,22.67616
ID:76561198206589543,4.55282,20.00000,3.82047,4.03702,6.55203,5.76508,20.00000,5.23945,20.00000,3.14823,20.00000,2.72792,20.00000,20.00000,20.00000,20.00000,20.00000,3310,0,2922,0,4197,2177,0,0,1257,4218,2106,8583,1476,0,11187,0,0,22.66133
ID:76561198169643727,20.00000,12.16509,6.50338,2.94898,20.00000,9.05686,4.46512,7.73385,5.58015,20.00000,20.00000,3.07980,3.80616,20.00000,20.00000,20.00000,20.00000,0,0,3695,7147,5241,1961,552,0,5602,0,0,8941,4615,0,0,0,0,22.64916
Ersatz,20.00000,20.00000,20.00000,2.90608,20.00000,20.00000,20.00000,7.10311,6.91192,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,7477,0,0,18357,0,0,0,2404,9035,7858,0,10273,0,0,23909,0,0,22.61624
ID:76561198151416163,3.83845,20.00000,20.00000,20.00000,6.73043,20.00000,5.16127,20.00000,5.18358,20.00000,20.00000,2.47203,2.20232,20.00000,3.69304,20.00000,20.00000,5669,0,0,0,5658,0,451,0,3117,0,0,0,4939,0,16386,1827,449,22.60252
ID:76561199007044387,20.00000,5.41346,20.00000,3.00954,20.00000,6.37683,3.49175,4.11768,20.00000,3.19257,20.00000,2.65021,3.29653,20.00000,20.00000,20.00000,20.00000,2283,0,0,6323,0,1264,516,2193,1449,0,1675,11597,1986,0,0,0,0,22.59643
ID:76561198204080252,3.70493,20.00000,20.00000,1.65783,20.00000,20.00000,3.82478,20.00000,20.00000,1.83915,3.25306,3.02837,20.00000,20.00000,20.00000,20.00000,20.00000,4862,0,0,0,0,0,380,0,1372,0,5568,13081,0,0,12908,0,0,22.59595
ID:76561198088654528,4.95378,11.94097,9.30129,3.05607,8.02374,11.43323,20.00000,20.00000,6.08273,4.38305,5.36397,3.23758,3.36099,20.00000,20.00000,20.00000,20.00000,4093,0,1452,0,3750,3263,0,0,3375,7011,4680,8288,3429,0,0,8522,0,22.59577
ID:76561198067012176,3.09423,20.00000,5.68900,4.12147,6.49002,20.00000,3.43054,20.00000,20.00000,3.83442,3.17728,2.57413,20.00000,20.00000,20.00000,20.00000,20.00000,3579,7920,1468,0,0,0,364,0,565,0,5508,0,886,0,11392,9318,0,22.58863
ID:76561198208887400,20.00000,11.38454,20.00000,2.96963,7.34382,5.41166,3.30858,7.80751,20.00000,5.59832,3.66183,2.61879,2.83520,20.00000,20.00000,20.00000,20.00000,0,0,203,0,3899,1961,0,2055,0,0,3506,8250,3147,0,0,219,0,22.56925
ID:76561198121495793,20.00000,20.00000,7.78926,3.01784,8.81722,9.60486,5.06826,7.14904,6.32718,5.28132,5.48885,2.80008,3.27464,20.00000,20.00000,20.00000,20.00000,1520,0,2184,0,0,1892,0,2394,3430,5862,5240,11399,4270,0,0,0,0,22.55630
ID:76561198050389059,20.00000,6.48142,20.00000,4.16879,5.28734,6.73112,20.00000,5.46961,20.00000,4.36886,20.00000,3.93954,20.00000,20.00000,20.00000,20.00000,20.00000,2556,8637,302,7179,7043,3880,0,4735,1202,7283,0,8441,1683,0,0,0,0,22.54999
ID:76561198163275270,20.00000,20.00000,7.48014,20.00000,20.00000,20.00000,20.00000,20.00000,7.64593,20.00000,20.00000,20.00000,4.46399,20.00000,20.00000,20.00000,20.00000,0,0,8504,14819,0,0,0,0,3923,12256,1379,15153,7983,0,26506,21599,0,22.54003
ID:76561198058972693,5.70562,8.07774,9.03346,2.90574,20.00000,10.74892,4.40662,9.09336,20.00000,20.00000,4.51784,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,4131,10196,1660,0,0,1577,801,4837,0,4691,6188,9639,913,0,0,6615,37,22.53565
ID:76561198344893786,20.00000,4.15063,4.72998,3.16958,6.48863,8.39192,4.86514,6.26921,20.00000,4.16488,20.00000,3.77672,20.00000,20.00000,20.00000,20.00000,20.00000,989,6086,4201,0,5547,1159,510,1842,0,5327,0,7449,0,0,0,0,0,22.50995
ID:76561198449747523,20.00000,3.63834,20.00000,2.03620,20.00000,20.00000,20.00000,4.59013,20.00000,1.86409,20.00000,2.15054,2.25515,20.00000,20.00000,20.00000,20.00000,1386,7353,0,0,0,0,0,3409,0,0,0,0,5656,0,0,0,0,22.49994
ID:76561198052965822,20.00000,6.02569,20.00000,3.09306,5.65215,6.55994,3.59728,6.29598,20.00000,4.70500,4.64375,4.21101,20.00000,20.00000,20.00000,20.00000,20.00000,3934,7889,217,0,3498,1642,274,1826,1309,0,3508,7668,2701,0,0,0,0,22.49831
ID:76561198382260443,20.00000,4.82164,20.00000,2.89853,7.08614,7.78456,3.62571,6.47432,20.00000,20.00000,4.66080,5.42054,3.62236,20.00000,20.00000,20.00000,20.00000,0,0,439,0,5529,2495,0,1959,1806,0,4246,9533,5945,0,0,0,0,22.49743
ID:76561198119768478,2.37343,20.00000,3.11405,20.00000,20.00000,2.41737,2.56256,20.00000,2.94423,20.00000,20.00000,3.40303,2.96430,20.00000,20.00000,20.00000,20.00000,0,0,500,0,0,500,1000,0,0,0,0,0,0,0,0,0,0,22.49207
ID:76561198028401733,5.09305,20.00000,20.00000,2.54847,20.00000,6.48177,4.17522,8.29384,20.00000,20.00000,5.74131,2.79738,2.79466,20.00000,20.00000,20.00000,20.00000,3562,0,1134,6691,5178,3711,319,2887,2192,0,5156,0,5181,0,0,0,0,22.49021
ID:76561198837528031,20.00000,8.29438,6.33789,3.06938,7.40692,5.39468,6.11956,7.55903,6.56341,20.00000,20.00000,2.86809,3.72882,20.00000,20.00000,20.00000,20.00000,829,6759,605,0,0,2399,428,3012,3487,4714,3194,0,3184,0,9414,124,0,22.47398
ID:76561198841164105,5.61094,20.00000,20.00000,20.00000,8.02259,10.04671,5.11934,7.35534,20.00000,6.04126,20.00000,2.75982,3.62413,20.00000,20.00000,20.00000,20.00000,5091,0,333,10494,0,3546,340,3617,741,4676,4802,9973,5840,0,17866,381,0,22.45008
ID:76561198045974249,20.00000,20.00000,6.11587,2.88841,20.00000,9.86293,4.03188,9.22152,6.45438,20.00000,5.90289,2.53854,2.64553,20.00000,20.00000,20.00000,20.00000,2425,7758,1516,0,4304,2380,0,0,3700,0,4382,12756,4729,0,0,0,0,22.44823
ID:76561198204771367,6.21299,20.00000,8.53240,20.00000,6.61597,7.10331,4.72442,6.71454,6.56458,20.00000,4.66891,2.88100,3.25360,20.00000,20.00000,20.00000,20.00000,3834,0,2171,0,4135,2853,547,0,2953,0,4972,7202,4728,0,0,0,0,22.43836
ID:76561198143337270,20.00000,8.47546,20.00000,20.00000,7.16482,6.85340,4.23515,5.83883,20.00000,5.53337,4.32025,2.54898,3.04591,20.00000,20.00000,20.00000,20.00000,661,6406,766,0,0,1898,429,1794,1797,0,4918,10063,4267,0,9873,1857,1549,22.42926
ID:76561198121739161,3.48509,20.00000,20.00000,2.99441,5.94402,6.77997,20.00000,6.88691,20.00000,3.22998,20.00000,5.37700,20.00000,20.00000,20.00000,20.00000,20.00000,6005,0,0,12688,4093,2221,355,2073,2036,12571,0,7621,706,0,12387,0,0,22.41954
ID:76561198026692736,5.91660,20.00000,7.44379,2.79120,7.99373,4.77268,4.15917,4.52863,20.00000,20.00000,20.00000,20.00000,2.72048,20.00000,20.00000,20.00000,20.00000,2845,7529,1225,8358,5582,1138,0,0,1078,0,6354,0,3377,0,0,7126,0,22.40472
ID:76561198037725134,20.00000,20.00000,7.00501,2.57945,4.69659,7.19861,3.47780,5.81898,20.00000,2.45944,20.00000,3.07807,2.50502,20.00000,20.00000,20.00000,20.00000,1121,0,2705,0,0,2827,0,3343,759,0,0,0,5487,0,0,0,0,22.38869
ID:76561198192408483,20.00000,20.00000,7.25003,3.32667,7.62389,5.38978,4.65077,6.09733,5.25169,5.59803,5.18524,4.89498,2.85198,20.00000,20.00000,20.00000,20.00000,0,0,1382,0,0,366,0,3164,4131,4704,4455,0,3996,0,0,0,0,22.38574
SeeNew,5.60174,20.00000,20.00000,20.00000,20.00000,12.43501,5.22915,20.00000,20.00000,20.00000,5.98575,2.88778,3.49028,20.00000,20.00000,20.00000,20.00000,4078,0,543,9826,7009,4835,636,0,0,4901,6028,22267,6571,0,0,0,0,22.37629
ID:76561198094728730,20.00000,9.28383,5.70391,20.00000,7.00075,4.51655,20.00000,6.78965,20.00000,4.07907,20.00000,20.00000,3.04897,20.00000,20.00000,20.00000,20.00000,883,6756,2089,0,0,2208,346,3983,937,6090,2108,0,4364,0,3422,132,0,22.36824
ID:76561197996334383,4.01761,9.79893,4.47951,3.75809,7.03046,7.88078,3.57576,20.00000,20.00000,20.00000,5.53920,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,4409,0,4538,7185,0,3280,0,0,610,0,5220,8325,690,0,0,0,232,22.36657
噩梦吞噬者,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,9.70406,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,0,0,0,18922,4807,0,0,7258,2936,17043,3110,24116,1003,0,25388,0,0,22.35259
ID:76561198064631707,20.00000,2.59590,20.00000,1.96153,20.00000,20.00000,20.00000,20.00000,20.00000,2.64280,20.00000,2.01468,1.95201,20.00000,20.00000,20.00000,20.00000,0,0,0,6732,0,0,0,0,0,0,0,0,6198,0,0,0,0,22.35068
ID:76561198296524585,20.00000,20.00000,20.00000,2.83883,20.00000,20.00000,6.13494,7.65285,20.00000,20.00000,4.08421,2.86176,2.37533,20.00000,20.00000,20.00000,20.00000,1227,6950,0,7254,5105,645,593,3830,530,9613,5757,8395,5038,0,0,0,0,22.32055
ID:76561199046765408,5.31891,20.00000,12.19608,2.99691,20.00000,12.97583,7.05813,8.49363,8.67616,20.00000,7.20295,2.73566,4.31380,20.00000,20.00000,20.00000,20.00000,3558,8290,1059,0,3623,1614,361,2243,2074,0,3189,0,3826,0,8985,104,8,22.30280
Hayden,6.77086,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,3.48726,20.00000,20.00000,20.00000,20.00000,5066,0,0,17913,0,0,0,0,0,0,3916,24015,4133,0,57682,0,0,22.29990
ID:76561198586458060,20.00000,8.88126,20.00000,2.75981,5.89157,8.16037,5.24445,6.33163,20.00000,4.39453,4.43368,2.88402,20.00000,20.00000,20.00000,20.00000,20.00000,0,0,586,6595,3665,1990,315,0,2427,0,5546,8960,1363,0,9075,645,1443,22.28552
ID:76561198323422041,20.00000,20.00000,20.00000,3.00988,8.01473,11.34802,10.19772,20.00000,20.00000,20.00000,4.71030,3.10843,3.56731,20.00000,20.00000,20.00000,20.00000,4268,7671,272,0,4435,2511,1217,3391,1547,4435,5436,7408,4670,0,5211,0,0,22.25878
ID:76561198026319210,5.13917,20.00000,7.29553,20.00000,20.00000,9.53082,20.00000,7.30065,20.00000,20.00000,4.75179,2.85823,4.07503,20.00000,20.00000,20.00000,20.00000,3013,0,1700,16143,4939,4064,0,2915,2483,0,5309,13193,5410,0,16677,0,0,22.25526
ID:76561198063498539,6.16961,20.00000,14.56548,3.60454,20.00000,11.69884,6.72990,9.32975,20.00000,20.00000,6.59931,2.72362,5.07965,20.00000,20.00000,20.00000,20.00000,3656,0,1134,6628,4728,3547,535,4546,1786,0,4742,8674,4533,0,0,393,114,22.25394
ID:76561198071320449,20.00000,20.00000,20.00000,2.90430,7.20592,6.96650,20.00000,20.00000,4.73397,4.30937,3.87969,2.51881,2.78454,20.00000,20.00000,20.00000,20.00000,1688,0,181,0,0,2066,0,0,2697,0,4929,11306,2882,0,0,0,0,22.24726
Haven,2.36575,20.00000,3.78243,2.73290,6.82210,20.00000,20.00000,20.00000,2.48727,20.00000,20.00000,2.71726,20.00000,20.00000,20.00000,20.00000,20.00000,4151,0,3382,0,4864,0,0,0,2686,0,0,12268,0,0,0,16958,0,22.22147
ID:76561198060600303,5.19804,20.00000,10.58103,20.00000,20.00000,10.65626,5.05026,9.53107,6.02285,20.00000,5.09090,2.73435,3.24907,20.00000,4.53429,20.00000,20.00000,3826,0,1180,0,0,4082,366,0,2094,0,4745,8541,4524,0,15158,4086,0,22.21618
ID:76561198041529280,20.00000,3.29684,20.00000,2.70827,8.51316,4.80072,3.31946,8.78827,20.00000,4.40069,20.00000,2.58024,20.00000,20.00000,20.00000,20.00000,20.00000,0,5970,438,0,4211,2391,338,2801,941,4798,2765,0,0,0,7086,0,0,22.21562
ID:76561198131803022,4.69057,7.49707,20.00000,3.98048,4.69933,20.00000,5.21932,7.22029,20.00000,5.71894,20.00000,2.85556,20.00000,20.00000,20.00000,20.00000,20.00000,4992,0,394,19920,4831,629,361,3103,0,5444,1713,8393,1031,0,0,137,0,22.20405
ID:76561198301072801,20.00000,20.00000,20.00000,2.57688,5.68813,5.65790,4.53998,6.04915,20.00000,5.24685,20.00000,2.76612,3.36952,20.00000,20.00000,20.00000,20.00000,722,0,206,0,5085,2708,669,2874,0,6350,2411,10160,4410,0,0,107,0,22.17947
ID:76561197993189792,4.00443,20.00000,20.00000,20.00000,5.48390,8.47825,4.52655,20.00000,5.01524,5.16639,4.36785,2.78838,3.97447,20.00000,20.00000,20.00000,20.00000,4818,0,595,0,0,2812,299,2970,3683,0,5528,10645,5199,0,10821,0,0,22.17879
ID:76561198165042284,20.00000,3.46798,2.96434,4.10545,5.98154,20.00000,20.00000,20.00000,20.00000,3.00044,20.00000,3.00199,2.85522,20.00000,20.00000,20.00000,20.00000,1523,8062,4600,0,10546,0,0,0,0,0,0,9693,4315,0,11765,0,0,22.17067
ID:76561197966383632,20.00000,20.00000,4.57300,2.42360,4.35551,20.00000,5.37294,4.24680,20.00000,4.43909,3.83323,3.00520,20.00000,20.00000,20.00000,20.00000,20.00000,1412,0,2599,0,0,604,388,3406,0,0,5797,0,1939,0,0,0,0,22.16518
ID:76561198114565619,20.00000,4.03615,5.08842,1.82788,20.00000,4.17409,2.39439,20.00000,20.00000,20.00000,20.00000,2.34648,2.56660,20.00000,20.00000,20.00000,20.00000,3811,0,3325,0,0,1346,0,0,0,0,0,0,3416,0,0,0,0,22.16341
ID:76561198387812427,20.00000,4.49579,20.00000,2.77260,7.95715,3.46505,20.00000,5.37201,20.00000,3.47605,20.00000,20.00000,4.55261,20.00000,20.00000,20.00000,20.00000,4033,0,179,0,4072,3363,0,3289,1942,0,0,0,5969,0,3297,0,0,22.15745
Sisil,20.00000,11.96504,20.00000,20.00000,3.31212,20.00000,2.99865,20.00000,2.47893,20.00000,3.30334,2.82167,1.94588,20.00000,20.00000,20.00000,20.00000,0,0,0,0,0,0,0,0,2717,0,7310,0,3069,0,6982,0,0,22.14969
ID:76561198005626120,6.39819,20.00000,8.24320,4.60519,7.12640,8.25001,3.48860,20.00000,6.87113,3.93215,20.00000,3.90847,20.00000,20.00000,20.00000,20.00000,20.00000,5224,0,3584,0,5184,1340,0,0,3819,5859,0,8981,1232,0,17394,20898,0,22.14875
ID:76561198424649546,20.00000,20.00000,20.00000,2.62286,7.08738,6.59778,4.95207,5.57846,20.00000,4.36413,4.57620,5.33081,2.75808,20.00000,20.00000,20.00000,20.00000,951,6211,375,0,0,2406,337,3651,1387,0,6395,0,5535,0,0,0,0,22.14742
ID:76561198119971707,4.90480,20.00000,6.15522,20.00000,7.39149,8.66906,20.00000,20.00000,5.70374,20.00000,20.00000,2.55196,4.29879,20.00000,4.25619,20.00000,20.00000,5182,0,1280,0,0,3535,436,0,2699,0,5080,11093,2699,0,15816,3669,0,22.12012
ID:76561198356632714,3.33710,8.49783,6.45545,2.73760,20.00000,9.06899,5.00188,6.20167,20.00000,20.00000,4.56788,4.82967,3.35309,20.00000,20.00000,20.00000,20.00000,3154,0,647,0,3584,1342,350,0,529,0,5054,8735,2881,0,0,0,0,22.11447
ID:76561198401425411,4.85118,20.00000,20.00000,20.00000,20.00000,7.90663,7.46242,8.17994,5.51001,20.00000,20.00000,20.00000,5.51798,20.00000,20.00000,20.00000,20.00000,5227,0,215,0,5860,3305,921,2643,5077,0,1347,0,5268,0,0,122,27,22.10649
ID:76561198028006207,20.00000,5.71583,7.33206,3.19270,8.09888,20.00000,20.00000,20.00000,5.64429,2.82844,20.00000,2.46060,3.47318,20.00000,20.00000,20.00000,20.00000,2787,0,1241,0,0,0,0,0,5126,0,0,0,4504,0,10292,3030,784,22.08442
ID:76561198243153826,2.61194,20.00000,5.35681,2.68754,20.00000,4.84300,20.00000,20.00000,20.00000,20.00000,20.00000,2.67350,2.03738,20.00000,20.00000,20.00000,20.00000,4353,7302,2000,6503,5532,535,0,3225,0,0,3788,0,2971,0,0,0,0,22.07651
ID:76561198323308877,20.00000,20.00000,20.00000,2.59445,7.25792,4.93045,3.35066,8.49298,20.00000,5.30824,4.09334,4.69159,20.00000,20.00000,20.00000,20.00000,20.00000,851,7088,236,0,5776,2990,468,3380,0,5386,4847,8539,706,0,0,0,0,22.07005
ID:76561199046999385,4.31403,8.40988,5.06862,2.97931,20.00000,7.16251,4.85794,6.68562,20.00000,4.80549,4.73233,20.00000,3.12866,20.00000,20.00000,20.00000,20.00000,3625,6721,2704,0,0,1947,524,2100,0,0,4717,0,2990,0,0,3534,0,22.06647
ID:76561198257479677,5.40259,9.02586,20.00000,3.00896,7.62070,7.84376,20.00000,5.75076,20.00000,4.44701,20.00000,2.80927,20.00000,20.00000,20.00000,20.00000,20.00000,4401,0,0,0,3952,3917,0,3433,956,7502,0,11757,813,0,13213,0,0,22.03769
HordeofTribbles,20.00000,20.00000,20.00000,1.73911,2.58328,20.00000,20.00000,20.00000,3.82027,20.00000,20.00000,1.81418,2.30172,20.00000,20.00000,20.00000,20.00000,0,0,0,0,0,0,0,0,0,0,0,19701,0,0,0,0,0,22.03701
ID:76561198114161146,20.00000,8.62737,20.00000,3.68802,6.11490,7.29483,20.00000,6.26389,4.00582,4.15744,20.00000,3.48607,20.00000,20.00000,20.00000,20.00000,20.00000,0,0,1201,10109,4902,1959,382,4444,3381,6471,0,9679,662,0,0,178,0,22.01419
ID:76561198447904215,20.00000,7.26733,20.00000,2.67519,20.00000,20.00000,5.22480,6.41542,4.94779,2.62025,4.81464,2.80567,3.99556,20.00000,20.00000,20.00000,20.00000,0,0,204,0,3707,955,529,3025,2727,4639,4515,0,4630,0,0,0,36,21.98916
ID:76561198043493593,6.01072,10.59020,7.06104,20.00000,7.51719,7.14104,5.90002,5.53299,20.00000,20.00000,4.74405,20.00000,4.19450,20.00000,5.13351,20.00000,20.00000,4013,0,1840,0,0,1276,0,2532,3807,0,5065,0,3456,0,15516,12996,0,21.98620
ID:76561198101344562,20.00000,12.02671,20.00000,2.99784,8.73337,6.96976,5.43377,6.85000,6.12796,20.00000,5.01145,2.69692,3.98193,20.00000,20.00000,20.00000,20.00000,0,9882,608,0,0,2560,0,3490,2032,0,5236,10979,5905,0,0,0,0,21.96845
ID:76561197970526890,20.00000,20.00000,20.00000,2.87414,20.00000,10.17011,4.02828,8.27973,6.61588,20.00000,5.62025,2.89067,4.82987,20.00000,20.00000,20.00000,20.00000,1946,6235,0,0,0,3037,814,2973,5245,0,5467,8987,4127,0,3347,0,0,21.94154
ID:76561198041627824,4.23461,20.00000,4.97036,20.00000,7.80378,6.92953,5.59998,6.93005,5.99640,5.62561,5.49967,20.00000,3.28814,20.00000,20.00000,20.00000,20.00000,4068,0,6498,0,5125,1274,0,2394,3377,0,3781,0,3950,0,0,0,0,21.93375
ID:76561198272466517,20.00000,20.00000,20.00000,2.85177,20.00000,8.53750,20.00000,20.00000,6.79910,20.00000,6.23365,2.37414,3.96604,20.00000,20.00000,20.00000,20.00000,0,0,311,7425,6029,4116,0,0,2688,5543,5432,8554,5641,0,12176,0,27,21.92292
ID:76561198027901887,20.00000,20.00000,6.04011,2.88550,20.00000,9.00852,20.00000,8.37247,6.21498,5.83119,20.00000,2.89732,4.63790,20.00000,20.00000,20.00000,20.00000,1950,0,2156,8699,3510,1801,0,2539,3514,4342,0,7080,3418,0,6700,0,0,21.92138
ID:76561198429443543,20.00000,9.64489,6.20128,20.00000,7.80896,6.67437,4.91959,6.91754,20.00000,4.55171,4.64104,4.12272,20.00000,20.00000,20.00000,20.00000,20.00000,2589,0,1200,0,0,2684,319,3562,1426,4977,6995,12432,0,0,4104,7248,155,21.91621
ID:76561198029526467,20.00000,9.80225,7.08742,4.62663,6.80567,6.14329,5.00833,7.36582,4.39573,3.60760,5.01741,20.00000,2.77025,20.00000,20.00000,20.00000,20.00000,0,0,1528,0,0,1031,582,2826,1798,0,2323,0,3968,0,0,0,0,21.90474
ID:76561198045453400,20.00000,20.00000,20.00000,20.00000,4.84907,6.62414,4.08948,5.13979,3.68675,4.51856,3.98271,20.00000,2.35336,20.00000,20.00000,20.00000,20.00000,1343,0,402,0,3779,2263,403,0,2874,0,3821,0,4106,0,0,0,0,21.90134
cileuhsa,20.00000,4.21264,20.00000,2.73822,8.35944,7.02794,20.00000,6.91487,20.00000,3.34513,20.00000,2.79188,1.68198,20.00000,20.00000,20.00000,20.00000,0,10319,0,0,0,2512,0,4134,0,0,0,11569,6514,0,0,0,0,21.87275
ID:76561198044765614,20.00000,8.47087,20.00000,2.95580,8.51879,2.67488,3.43324,3.41680,20.00000,5.80886,4.66140,5.33572,20.00000,20.00000,20.00000,20.00000,20.00000,0,6304,0,0,0,1048,528,0,817,0,6770,0,0,0,0,0,0,21.85064
ID:76561198043676373,20.00000,3.64447,3.58529,2.38840,6.93292,5.75243,20.00000,6.83577,5.88849,20.00000,4.54562,4.41899,3.60673,20.00000,20.00000,20.00000,20.00000,0,0,2208,0,0,956,0,0,2234,0,3876,0,3379,0,0,0,0,21.83602
ID:76561198054138898,20.00000,6.15565,7.09469,20.00000,7.56666,9.03819,3.52475,6.92221,6.71942,20.00000,20.00000,2.97854,3.94064,20.00000,20.00000,20.00000,20.00000,0,7906,1203,8483,0,1270,302,1922,2154,0,2272,8456,3559,0,0,0,0,21.83469
ID:76561199041424713,20.00000,20.00000,20.00000,3.43462,8.84329,9.68982,6.17049,9.20182,6.75751,20.00000,6.53353,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,0,7318,0,20555,4244,2407,393,5305,4619,6907,4325,7614,0,0,0,163,0,21.83449
ID:76561198080358511,20.00000,20.00000,10.77228,2.54174,8.53516,20.00000,6.83198,20.00000,20.00000,20.00000,6.54935,2.71009,4.73584,20.00000,20.00000,20.00000,20.00000,1115,0,1047,9667,5905,1416,839,0,2781,4444,5842,9042,5411,0,16285,0,0,21.83328
Mendayen,20.00000,2.32143,20.00000,1.47161,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,20.00000,0,6370,0,9593,0,0,0,0,0,0,0,0,0,0,0,0,0,21.78678
ID:76561198098351412,20.00000,8.21000,20.00000,3.01836,5.88933,7.76110,3.91554,20.00000,4.67576,5.31432,5.56891,2.87047,20.00000,20.00000,20.00000,20.00000,20.00000,0,0,477,0,5012,2356,274,2240,2611,4621,4621,8627,893,0,0,3651,6,21.77788
ID:76561198031450918,3.50834,20.00000,7.89842,20.00000,20.00000,20.00000,6.37046,7.58802,5.38725,6.06172,20.00000,20.00000,3.80190,20.00000,20.00000,20.00000,20.00000,5423,0,2616,0,4996,0,566,3734,4087,5140,0,8857,4017,0,24121,164,0,21.77466
