Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Hard Speed,Bard Hard Speed,Bolt Hard Speed,Cad Hard Speed,Dia Hard Speed,Dor Hard Speed,Dove Hard Speed,Eli Hard Speed,Mary Hard Speed,Mel Hard Speed,Monk Hard Speed,Noc Hard Speed,Tempo Hard Speed,Coda Hard Speed,Aria NR Speed,Bard NR Speed,Bolt NR Speed,Cad NR Speed,Dia NR Speed,Dor NR Speed,Dove NR Speed,Eli NR Speed,Mary NR Speed,Mel NR Speed,Monk NR Speed,Noc NR Speed,Tempo NR Speed,Coda NR Speed,Aria Rando Speed,Bard Rando Speed,Bolt Rando Speed,Cad Rando Speed,Dia Rando Speed,Dor Rando Speed,Dove Rando Speed,Eli Rando Speed,Mary Rando Speed,Mel Rando Speed,Monk Rando Speed,Noc Rando Speed,Tempo Rando Speed,Coda Rando Speed,Aria Phasing Speed,Bard Phasing Speed,Bolt Phasing Speed,Cad Phasing Speed,Dia Phasing Speed,Dor Phasing Speed,Dove Phasing Speed,Eli Phasing Speed,Mary Phasing Speed,Mel Phasing Speed,Monk Phasing Speed,Noc Phasing Speed,Tempo Phasing Speed,Coda Phasing Speed,Aria Mystery Speed,Bard Mystery Speed,Bolt Mystery Speed,Cad Mystery Speed,Dia Mystery Speed,Dor Mystery Speed,Dove Mystery Speed,Eli Mystery Speed,Mary Mystery Speed,Mel Mystery Speed,Monk Mystery Speed,Noc Mystery Speed,Tempo Mystery Speed,Coda Mystery Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Aria Hard Score,Bard Hard Score,Bolt Hard Score,Cad Hard Score,Dia Hard Score,Dor Hard Score,Dove Hard Score,Eli Hard Score,Mary Hard Score,Mel Hard Score,Monk Hard Score,Noc Hard Score,Tempo Hard Score,Coda Hard Score,Aria NR Score,Bard NR Score,Bolt NR Score,Cad NR Score,Dia NR Score,Dor NR Score,Dove NR Score,Eli NR Score,Mary NR Score,Mel NR Score,Monk NR Score,Noc NR Score,Tempo NR Score,Coda NR Score,Aria Rando Score,Bard Rando Score,Bolt Rando Score,Cad Rando Score,Dia Rando Score,Dor Rando Score,Dove Rando Score,Eli Rando Score,Mary Rando Score,Mel Rando Score,Monk Rando Score,Noc Rando Score,Tempo Rando Score,Coda Rando Score,Aria Phasing Score,Bard Phasing Score,Bolt Phasing Score,Cad Phasing Score,Dia Phasing Score,Dor Phasing Score,Dove Phasing Score,Eli Phasing Score,Mary Phasing Score,Mel Phasing Score,Monk Phasing Score,Noc Phasing Score,Tempo Phasing Score,Coda Phasing Score,Aria Mystery Score,Bard Mystery Score,Bolt Mystery Score,Cad Mystery Score,Dia Mystery Score,Dor Mystery Score,Dove Mystery Score,Eli Mystery Score,Mary Mystery Score,Mel Mystery Score,Monk Mystery Score,Noc Mystery Score,Tempo Mystery Score,Coda Mystery Score,Aria DL,Bard DL,Bolt DL,Cad DL,Dia DL,Dor DL,Dove DL,Eli DL,Mary DL,Mel DL,Monk DL,Noc DL,Tempo DL,Coda DL
piranhaplant1,1226,0,643,334,1782,1158,354,1083,945,2844,1498,1839,526,0,522,0,131,0,0,0,0,0,0,0,0,0,0,0,1748,0,0,0,408,0,1003,0,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,183,0,1420,401,896,2978,302,4600,965,987,100,150,851,0,32,0,0,0,0,0,0,0,0,0,0,0,2435,0,0,0,121,0,1189,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,45,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat Trick,118,0,948,267,276,110,267,286,535,287,379,799,1156,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,1056,0,1043,0,3851,347,1335,2377,2076,0,517,0,2758,0,1100,457,0,0,0,0,0,0,0,0,0,0,0,0,4644,0,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,1737,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iakm,490,1251,1295,346,401,388,1197,389,524,1349,657,504,757,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,188,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,1635,0,1894,46,0,2898,4632,4196,1111,0,1309,119,2261,0,911,0,0,0,0,0,816,0,0,0,0,0,0,0,2276,0,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0
tomatoonion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4335,7,0,0,0,0,0,71,4326,73,0,0,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manyface,0,0,0,2771,202,197,2235,0,735,1750,0,1590,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,1557,4857,2343,936,59,35,0,206,260,784,2831,421,31,0,257,1715,0,0,0,0,0,0,0,0,0,0,0,0,3354,0,0,0,0,0,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,531,0,3405,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,714,680,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leyic,1892,0,0,2141,4287,0,0,4451,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,80,2095,95,78,208,389,81,1574,61,2001,170,2977,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verus,325,0,608,3412,1051,489,1180,714,489,1021,1060,584,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,456,0,646,211,0,1729,1796,1052,1683,2496,59,980,903,231,1351,481,1138,0,0,0,0,0,0,0,0,0,0,222,2518,0,53,0,0,0,920,337,0,0,0,0,0,0,0,0,56,320,3211,0,611,468,0,0,0,0,0,0,1626,0,0,279,0,0,645,0,0,0,0,0,0,0,0,0,140,0,0,0,528,580,0,0,0,0,0,0,0,0,0,160,0,0,254,0,0,0,0,0,0,0,0,0,67
A cat that cooks,501,1406,162,3497,244,0,0,0,143,614,424,2774,1342,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,264,0,90,0,1256,2776,1823,0,562,0,322,0,1693,80,939,112,248,0,1148,0,0,0,0,0,0,0,0,0,1762,0,0,0,0,0,2437,0,0,0,0,0,0,0,0,0,0,0,0,218,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,2738,0,0,1113,0,0,0,0,0,0,0,0,0,38,1808,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
CFP,0,231,965,419,166,263,256,237,800,188,567,520,213,0,0,0,0,0,0,0,52,0,0,0,0,0,44,0,1372,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,91,0,0,50,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,4011,3271,656,2042,2171,1410,4346,2017,484,863,0,0,0,0,0,0,0,945,0,0,0,0,0,238,0,2920,0,0,0,0,0,1416,0,0,0,0,0,52,0,0,0,0,0,0,0,1515,0,0,0,0,0,0,0,0,0,0,0,4031,0,1623,0,0,864,213,0,397,0,0,260,0,0,16,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DaSquid,184,50,0,106,0,330,230,0,0,0,181,87,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,0,2326,2304,0,2642,0,0,4508,0,1922,0,2132,0,4646,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bostwiek,611,353,282,2080,214,541,549,258,1470,1479,472,432,1645,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,2260,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1233,190,151,833,721,300,2529,1922,2342,0,861,746,682,0,1095,824,0,0,0,0,4046,0,0,0,0,0,0,0,3386,0,0,0,0,0,2042,0,0,0,0,0,0,0,0,0,0,0,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3379,0,0,0,0,0,0,0,0,0,0
anonymouse512,0,766,0,2882,466,0,2638,2478,1626,799,0,1097,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,398,238,2353,160,102,0,856,101,43,78,0,222,290,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,0,3742,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,760,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,51,0,0,0,0
EightBit,474,0,1310,3747,1265,965,925,1035,471,4922,499,907,675,0,455,0,125,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,79,0,1264,0,2724,373,4785,1143,142,1326,237,511,172,0,462,0,27,0,0,0,0,0,0,0,0,0,0,0,2028,0,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,71,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
超级大神,116,1235,275,3278,318,296,1191,1878,0,316,228,247,328,0,110,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,2155,1050,1166,0,0,2205,117,0,2065,0,3564,0,2187,0,1373,2374,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0
thbontyhunter,156,1353,436,469,254,537,2827,236,393,1320,356,768,288,0,179,0,0,0,0,0,232,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,883,0,949,0,3894,2472,2735,2760,1988,0,1850,1861,811,0,955,3148,0,0,0,0,957,0,0,0,0,0,0,0,1316,0,0,422,0,0,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,71,86,0,0,0,0,0,0,0,318,0,282,2410,0,0,1211,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,92,0,0,3365,0,0,0,0,0,0,0,0,0,0
我i打酱油,463,0,0,4166,3267,0,0,0,789,1898,0,999,441,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,207,0,479,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,58,47,0,38,81,1454,0,0,314,444,0,1068,1278,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,261,0,0,495,0,1055,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debby Saurus,204,349,129,3613,310,257,885,152,148,705,288,2378,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,1093,3425,2636,396,388,2502,216,3473,1105,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr.HopsJuice,134,310,148,2622,266,236,402,117,153,837,154,649,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,939,0,3547,3983,0,4626,430,0,2624,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choongmyoung,659,0,1126,139,1367,695,1970,818,855,76,772,459,1023,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,525,0,794,2872,0,1686,3045,4009,2422,2551,415,0,2418,0,871,0,0,0,2571,0,0,0,0,0,0,0,0,0,2962,0,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,2231,0,3531,0,0,0,0,0,0,0,378,0,0,106,0,0,625,0,0,0,0,0,0,0,0,0,0
神圣挖掘机,1095,2340,594,1010,2255,1553,1938,2543,1079,4729,887,736,703,0,625,221,0,0,0,0,0,0,0,0,0,0,0,0,2321,0,0,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,190,3736,92,1340,702,153,257,1095,679,1106,1360,1154,391,448,751,136,214,0,0,0,0,0,0,0,0,0,0,0,2881,0,0,0,0,0,463,0,0,0,0,0,0,0,2211,0,0,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041,0,0,0,0,0,0,0,0,0,0
Zy Soua,138,590,146,3269,304,305,279,178,155,589,79,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582,0,1958,0,0,2327,122,0,1807,0,0,0,2901,0,1249,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VoyageDB,328,314,402,908,3439,1147,1296,199,468,588,813,808,620,0,119,0,0,0,0,0,218,0,0,0,0,0,0,0,389,0,0,0,79,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,287,2533,274,0,0,852,1946,2659,1373,0,599,1429,1574,274,690,279,0,116,0,0,1251,0,0,0,0,0,0,0,1323,0,0,131,467,0,482,0,0,0,0,0,0,0,0,0,0,504,2413,0,1992,0,0,0,0,0,0,0,0,281,0,322,0,0,0,0,0,1004,0,0,0,267,0,0,0,0,0,0,530,0,0,0,0,0,1161,0,0,0,0,0,0,0,3507,0,0,0,0,0,0,0,0,0,0
Vaernheart,921,771,441,1391,694,558,520,429,920,1027,725,1960,1134,0,307,105,0,0,0,0,0,0,0,0,0,0,0,0,3171,0,0,0,142,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,907,0,514,0,2185,1652,2875,3078,1763,3315,1374,2908,2421,125,1118,119,0,0,0,0,0,0,0,0,0,0,997,0,3247,0,0,0,354,0,1818,383,0,0,0,0,0,0,230,0,41,0,0,0,0,475,0,0,0,0,0,0,3249,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,0,131,0,2141,0,0,568,0,120,0,0,0,0,1307,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0
410,0,0,0,761,678,0,0,0,0,0,0,245,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3692,2986,0,0,0,118,0,12,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754,0,0,0,0,0,3887,0,0,0,0,0,0,0,854,0,0,0,0,0,2475,0,0,0,0,0,0,0,84,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0,0,0,0,0,0,0,0
Mike,500,1467,341,1965,1040,552,2625,702,300,1153,283,1728,1780,0,316,126,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,376,0,445,0,4766,690,542,2230,994,0,673,2131,393,236,334,118,0,0,0,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0
Bamboozler,848,679,602,1918,263,446,2203,552,1349,1082,522,484,1193,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,618,88,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,878,0,755,0,3969,476,1015,1815,568,0,621,424,762,281,411,96,338,75,0,0,0,0,0,0,0,0,0,0,3018,104,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0,277,0,0,0,0,515,0,0,0,0,0,0,0,0,532,0,39,0,0,69,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
Hae~,1409,0,1685,959,0,2438,3407,3598,1587,0,889,915,2264,0,0,0,0,0,481,0,0,135,46,0,74,26,207,0,3310,72,0,0,0,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,1197,0,0,0,0,0,1245,0,41,763,205,0,507,0,0,0,0,0,1257,0,0,0,0,0,0,0,0,0,0,0,0,1285,0,552,606,232,88,4244,73,70,276,1517,2406,2318,0,0,0,0,0,31,248,0,15,4,0,11,7,27,27,3772,74,0,0,0,0,1487,0,0,0,0,0,0,0,0,0,0,0,0,0,3720,257,0,0,0,0,0,0,87,0,0,0,0,0,16,0,3,439,9,66,10,0,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0
KibaZorua,927,433,1188,0,225,881,3813,4209,816,815,1050,1369,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,1023,0,1296,498,46,84,51,67,1303,2021,1576,180,282,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,4574,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,0,545,0,0,0,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT Zin,183,0,184,689,0,286,596,153,130,412,171,539,381,0,0,0,0,0,778,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1307,0,319,4349,0,277,2761,1811,564,1227,1101,0,492,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazzy,1408,194,1165,241,344,1455,1932,457,1727,325,1175,868,1549,0,0,0,0,0,432,0,159,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,822,0,0,0,0,0,0,0,1037,0,0,0,0,0,993,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,572,687,2404,293,255,3171,1512,1056,719,73,3693,2003,0,645,1120,0,0,248,0,1227,0,0,0,0,0,0,0,1186,0,0,0,1600,0,146,0,0,0,0,0,0,0,0,0,0,0,72,0,1046,0,0,0,0,0,0,0,2106,0,0,0,0,0,167,0,0,0,0,0,0,0,563,0,0,0,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alex,863,430,739,947,4791,1957,0,0,1286,1775,1986,1471,750,0,331,216,130,0,49,0,0,0,0,0,0,0,0,0,2432,0,0,0,591,0,1359,0,0,0,0,0,0,0,0,0,0,0,27,104,0,0,0,0,0,0,0,0,1263,0,0,0,62,0,0,0,0,134,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,403,182,1160,0,3615,1673,0,0,1597,2671,1573,0,1893,503,480,227,140,0,22,0,0,0,0,0,0,0,0,0,2270,0,0,0,849,0,1149,0,0,0,0,0,0,0,0,0,0,0,11,119,0,0,0,0,0,0,0,64,237,192,0,190,9,0,4182,738,0,590,0,114,0,232,1411,320,0,0,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,238,0,0,0,0,0,0,0,0,0,0
